account_id,customer_id,product_code,opened_at,credit_limit,annual_fee,annual_fee_posting_month,statement_closing_day,status,purchase_apr,rewards_balance,rewards_unit,available_at
ACC-00001,CUS-00001,EVERYDAY_CASH,2012-11-26,2300,0.00,,3,open,24.49,279,cash_back,2012-11-26T15:00:00Z
ACC-00002,CUS-00002,EVERYDAY_CASH,2026-08-29,11500,0.00,,12,open,24.49,168,cash_back,2026-08-29T14:00:00Z
ACC-00003,CUS-00003,VOYAGER,2005-05-16,7200,95.00,5,25,open,24.49,11027,miles,2005-05-16T14:00:00Z
ACC-00004,CUS-00004,FOUNDATION,2023-11-12,1200,0.00,,25,open,28.49,436,cash_back,2023-11-12T15:00:00Z
ACC-00005,CUS-00005,EVERYDAY_CASH,2017-02-06,7000,0.00,,8,open,24.49,160,cash_back,2017-02-06T15:00:00Z
ACC-00006,CUS-00006,VOYAGER,2023-11-13,8400,95.00,11,17,open,24.49,46431,miles,2023-11-13T15:00:00Z
ACC-00007,CUS-00007,SUMMIT,2010-07-18,22500,450.00,7,20,open,25.99,81655,miles,2010-07-18T14:00:00Z
ACC-00008,CUS-00008,EVERYDAY_CASH,2026-09-01,3200,0.00,,20,open,24.49,64,cash_back,2026-09-01T14:00:00Z
ACC-00009,CUS-00009,VOYAGER,2019-11-25,14700,95.00,11,12,open,24.49,36940,miles,2019-11-25T15:00:00Z
ACC-00010,CUS-00010,FOUNDATION,2015-11-10,1300,0.00,,17,open,28.49,554,cash_back,2015-11-10T15:00:00Z
ACC-00011,CUS-00011,FOUNDATION,2000-10-29,400,0.00,,8,open,28.49,296,cash_back,2000-10-29T15:00:00Z
ACC-00012,CUS-00012,VOYAGER,1999-02-06,13700,95.00,2,8,open,24.49,81815,miles,1999-02-06T15:00:00Z
ACC-00013,CUS-00013,EVERYDAY_CASH,2000-11-09,7100,0.00,,3,open,24.49,137,cash_back,2000-11-09T15:00:00Z
ACC-00014,CUS-00014,VOYAGER,2013-02-19,13900,95.00,2,3,open,24.49,3438,miles,2013-02-19T15:00:00Z
ACC-00015,CUS-00015,EVERYDAY_CASH,2007-12-25,1700,0.00,,20,open,24.49,87,cash_back,2007-12-25T15:00:00Z
ACC-00016,CUS-00016,EVERYDAY_CASH,2009-10-12,9300,0.00,,25,open,24.49,416,cash_back,2009-10-12T14:00:00Z
ACC-00017,CUS-00017,VOYAGER,2021-03-06,11600,95.00,3,8,open,24.49,15186,miles,2021-03-06T15:00:00Z
ACC-00018,CUS-00018,VOYAGER,2026-08-17,7300,95.00,8,3,open,24.49,24063,miles,2026-08-17T14:00:00Z
