statement_id,account_id,period_start,period_end,ending_balance,transmitted_at,available_at
STM-00001-202607,ACC-00001,2026-06-04,2026-07-03,1073.04,2026-07-04T04:00:00Z,2026-07-04T04:00:00Z
STM-00001-202608,ACC-00001,2026-07-04,2026-08-03,1988.61,2026-08-04T04:00:00Z,2026-08-04T04:00:00Z
STM-00001-202609,ACC-00001,2026-08-04,2026-09-03,1505.65,2026-09-04T04:00:00Z,2026-09-04T04:00:00Z
STM-00001-202610,ACC-00001,2026-09-04,2026-10-03,1054.85,2026-10-04T04:00:00Z,2026-10-04T04:00:00Z
STM-00001-202611,ACC-00001,2026-10-04,2026-11-03,744.48,2026-11-04T05:00:00Z,2026-11-04T05:00:00Z
STM-00002-202609,ACC-00002,2026-08-13,2026-09-12,0.00,2026-09-13T04:00:00Z,2026-09-13T04:00:00Z
STM-00002-202610,ACC-00002,2026-09-13,2026-10-12,2515.79,2026-10-13T04:00:00Z,2026-10-13T04:00:00Z
STM-00002-202611,ACC-00002,2026-10-13,2026-11-12,3312.59,2026-11-13T05:00:00Z,2026-11-13T05:00:00Z
STM-00003-202607,ACC-00003,2026-06-26,2026-07-25,868.55,2026-07-26T04:00:00Z,2026-07-26T04:00:00Z
STM-00003-202608,ACC-00003,2026-07-26,2026-08-25,565.67,2026-08-26T04:00:00Z,2026-08-26T04:00:00Z
STM-00003-202609,ACC-00003,2026-08-26,2026-09-25,400.76,2026-09-26T04:00:00Z,2026-09-26T04:00:00Z
STM-00003-202610,ACC-00003,2026-09-26,2026-10-25,457.31,2026-10-26T04:00:00Z,2026-10-26T04:00:00Z
STM-00004-202607,ACC-00004,2026-06-26,2026-07-25,179.63,2026-07-26T04:00:00Z,2026-07-26T04:00:00Z
STM-00004-202608,ACC-00004,2026-07-26,2026-08-25,88.14,2026-08-26T04:00:00Z,2026-08-26T04:00:00Z
STM-00004-202609,ACC-00004,2026-08-26,2026-09-25,126.39,2026-09-26T04:00:00Z,2026-09-26T04:00:00Z
STM-00004-202610,ACC-00004,2026-09-26,2026-10-25,203.45,2026-10-26T04:00:00Z,2026-10-26T04:00:00Z
STM-00005-202607,ACC-00005,2026-06-09,2026-07-08,2877.27,2026-07-09T04:00:00Z,2026-07-09T04:00:00Z
STM-00005-202608,ACC-00005,2026-07-09,2026-08-08,2253.21,2026-08-09T04:00:00Z,2026-08-09T04:00:00Z
STM-00005-202609,ACC-00005,2026-08-09,2026-09-08,2700.30,2026-09-09T04:00:00Z,2026-09-09T04:00:00Z
STM-00005-202610,ACC-00005,2026-09-09,2026-10-08,1753.94,2026-10-09T04:00:00Z,2026-10-09T04:00:00Z
STM-00005-202611,ACC-00005,2026-10-09,2026-11-08,3143.13,2026-11-09T05:00:00Z,2026-11-09T05:00:00Z
STM-00006-202607,ACC-00006,2026-06-18,2026-07-17,1672.50,2026-07-18T04:00:00Z,2026-07-18T04:00:00Z
STM-00006-202608,ACC-00006,2026-07-18,2026-08-17,1568.59,2026-08-18T04:00:00Z,2026-08-18T04:00:00Z
STM-00006-202609,ACC-00006,2026-08-18,2026-09-17,1012.04,2026-09-18T04:00:00Z,2026-09-18T04:00:00Z
STM-00006-202610,ACC-00006,2026-09-18,2026-10-17,1477.59,2026-10-18T04:00:00Z,2026-10-18T04:00:00Z
STM-00007-202607,ACC-00007,2026-06-21,2026-07-20,8593.84,2026-07-21T04:00:00Z,2026-07-21T04:00:00Z
STM-00007-202608,ACC-00007,2026-07-21,2026-08-20,7888.85,2026-08-21T04:00:00Z,2026-08-21T04:00:00Z
STM-00007-202609,ACC-00007,2026-08-21,2026-09-20,7069.85,2026-09-21T04:00:00Z,2026-09-21T04:00:00Z
STM-00007-202610,ACC-00007,2026-09-21,2026-10-20,7677.59,2026-10-21T04:00:00Z,2026-10-21T04:00:00Z
STM-00008-202609,ACC-00008,2026-08-21,2026-09-20,926.44,2026-09-21T04:00:00Z,2026-09-21T04:00:00Z
STM-00008-202610,ACC-00008,2026-09-21,2026-10-20,1229.24,2026-10-21T04:00:00Z,2026-10-21T04:00:00Z
STM-00009-202607,ACC-00009,2026-06-13,2026-07-12,3311.98,2026-07-13T04:00:00Z,2026-07-13T04:00:00Z
STM-00009-202608,ACC-00009,2026-07-13,2026-08-12,1139.82,2026-08-13T04:00:00Z,2026-08-13T04:00:00Z
STM-00009-202609,ACC-00009,2026-08-13,2026-09-12,3654.78,2026-09-13T04:00:00Z,2026-09-13T04:00:00Z
STM-00009-202610,ACC-00009,2026-09-13,2026-10-12,3010.28,2026-10-13T04:00:00Z,2026-10-13T04:00:00Z
STM-00009-202611,ACC-00009,2026-10-13,2026-11-12,2326.01,2026-11-13T05:00:00Z,2026-11-13T05:00:00Z
STM-00010-202607,ACC-00010,2026-06-18,2026-07-17,525.76,2026-07-18T04:00:00Z,2026-07-18T04:00:00Z
STM-00010-202608,ACC-00010,2026-07-18,2026-08-17,492.57,2026-08-18T04:00:00Z,2026-08-18T04:00:00Z
STM-00010-202609,ACC-00010,2026-08-18,2026-09-17,366.55,2026-09-18T04:00:00Z,2026-09-18T04:00:00Z
STM-00010-202610,ACC-00010,2026-09-18,2026-10-17,422.39,2026-10-18T04:00:00Z,2026-10-18T04:00:00Z
STM-00011-202607,ACC-00011,2026-06-09,2026-07-08,45.88,2026-07-09T04:00:00Z,2026-07-09T04:00:00Z
STM-00011-202608,ACC-00011,2026-07-09,2026-08-08,70.36,2026-08-09T04:00:00Z,2026-08-09T04:00:00Z
STM-00011-202609,ACC-00011,2026-08-09,2026-09-08,54.19,2026-09-09T04:00:00Z,2026-09-09T04:00:00Z
STM-00011-202610,ACC-00011,2026-09-09,2026-10-08,60.79,2026-10-09T04:00:00Z,2026-10-09T04:00:00Z
STM-00011-202611,ACC-00011,2026-10-09,2026-11-08,51.52,2026-11-09T05:00:00Z,2026-11-09T05:00:00Z
