inquiry_id,credit_request_id,account_id,inquiry_type,bureau,pulled_at_utc,available_at
BIR-0040000,CRQ-0040000,ACC-00365,HARD,Equifax,2026-10-01T17:01:45Z,2026-10-01T17:01:45Z
BIR-0040001,CRQ-0040001,ACC-01061,HARD,Equifax,2026-10-02T17:01:45Z,2026-10-02T17:01:45Z
BIR-0040002,CRQ-0040002,ACC-01130,HARD,Equifax,2026-10-03T17:01:45Z,2026-10-03T17:01:45Z
BIR-0040003,CRQ-0040003,ACC-00684,HARD,Equifax,2026-10-04T17:01:45Z,2026-10-04T17:01:45Z
BIR-0040004,CRQ-0040004,ACC-00134,HARD,Equifax,2026-10-05T17:01:45Z,2026-10-05T17:01:45Z
BIR-0040005,CRQ-0040005,ACC-00139,HARD,Equifax,2026-10-06T17:01:45Z,2026-10-06T17:01:45Z
BIR-0040006,CRQ-0040006,ACC-00929,HARD,Equifax,2026-10-07T17:01:45Z,2026-10-07T17:01:45Z
BIR-0040007,CRQ-0040007,ACC-00843,HARD,Equifax,2026-10-08T17:01:45Z,2026-10-08T17:01:45Z
BIR-0040008,CRQ-0040008,ACC-00546,HARD,Equifax,2026-10-09T17:01:45Z,2026-10-09T17:01:45Z
BIR-0040009,CRQ-0040009,ACC-00068,HARD,Equifax,2026-10-10T17:01:45Z,2026-10-10T17:01:45Z
BIR-0040010,CRQ-0040010,ACC-00846,HARD,Equifax,2026-10-11T17:01:45Z,2026-10-11T17:01:45Z
BIR-0040011,CRQ-0040011,ACC-00143,HARD,Equifax,2026-10-12T17:01:45Z,2026-10-12T17:01:45Z
BIR-0040012,CRQ-0040012,ACC-00709,HARD,Equifax,2026-10-13T17:01:45Z,2026-10-13T17:01:45Z
BIR-0040013,CRQ-0040013,ACC-00882,HARD,Equifax,2026-10-14T17:01:45Z,2026-10-14T17:01:45Z
BIR-0040014,CRQ-0040014,ACC-00389,HARD,Equifax,2026-10-15T17:01:45Z,2026-10-15T17:01:45Z
BIR-0040015,CRQ-0040015,ACC-00625,HARD,Equifax,2026-10-16T17:01:45Z,2026-10-16T17:01:45Z
BIR-0040016,CRQ-0040016,ACC-00840,HARD,Equifax,2026-10-17T17:01:45Z,2026-10-17T17:01:45Z
BIR-0040017,CRQ-0040017,ACC-00650,HARD,Equifax,2026-10-18T17:01:45Z,2026-10-18T17:01:45Z
BIR-0040018,CRQ-0040018,ACC-00904,HARD,Equifax,2026-10-19T17:01:45Z,2026-10-19T17:01:45Z
BIR-0040019,CRQ-0040019,ACC-00781,HARD,Equifax,2026-10-20T17:01:45Z,2026-10-20T17:01:45Z
BIR-0040020,CRQ-0040020,ACC-00168,HARD,Equifax,2026-10-21T17:01:45Z,2026-10-21T17:01:45Z
BIR-0040021,CRQ-0040021,ACC-00244,HARD,Equifax,2026-10-22T17:01:45Z,2026-10-22T17:01:45Z
BIR-0040022,CRQ-0040022,ACC-00097,HARD,Equifax,2026-10-23T17:01:45Z,2026-10-23T17:01:45Z
BIR-0040023,CRQ-0040023,ACC-00410,HARD,Equifax,2026-10-24T17:01:45Z,2026-10-24T17:01:45Z
BIR-0040024,CRQ-0040024,ACC-01120,HARD,Equifax,2026-10-25T17:01:45Z,2026-10-25T17:01:45Z
BIR-0040025,CRQ-0040025,ACC-00421,HARD,Equifax,2026-10-26T17:01:45Z,2026-10-26T17:01:45Z
BIR-0040026,CRQ-0040026,ACC-00764,HARD,Equifax,2026-10-27T17:01:45Z,2026-10-27T17:01:45Z
BIR-0040027,CRQ-0040027,ACC-00761,HARD,Equifax,2026-10-28T17:01:45Z,2026-10-28T17:01:45Z
BIR-0040028,CRQ-0040028,ACC-00046,HARD,Equifax,2026-10-29T17:01:45Z,2026-10-29T17:01:45Z
BIR-0040029,CRQ-0040029,ACC-00191,HARD,Equifax,2026-10-30T17:01:45Z,2026-10-30T17:01:45Z
BIR-0040030,CRQ-0040030,ACC-00842,HARD,Equifax,2026-10-31T17:01:45Z,2026-10-31T17:01:45Z
BIR-0040031,CRQ-0040031,ACC-00115,HARD,Equifax,2026-11-01T17:01:45Z,2026-11-01T17:01:45Z
BIR-0040032,CRQ-0040032,ACC-00801,HARD,Equifax,2026-11-02T17:01:45Z,2026-11-02T17:01:45Z
BIR-0040033,CRQ-0040033,ACC-00840,HARD,Equifax,2026-11-03T17:01:45Z,2026-11-03T17:01:45Z
BIR-0040034,CRQ-0040034,ACC-01076,HARD,Equifax,2026-11-04T17:01:45Z,2026-11-04T17:01:45Z
BIR-0040035,CRQ-0040035,ACC-00418,HARD,Equifax,2026-11-05T17:01:45Z,2026-11-05T17:01:45Z
BIR-0040036,CRQ-0040036,ACC-00019,HARD,Equifax,2026-11-06T17:01:45Z,2026-11-06T17:01:45Z
BIR-0040037,CRQ-0040037,ACC-00089,HARD,Equifax,2026-11-07T17:01:45Z,2026-11-07T17:01:45Z
BIR-0040038,CRQ-0040038,ACC-00277,HARD,Equifax,2026-11-08T17:01:45Z,2026-11-08T17:01:45Z
BIR-0040039,CRQ-0040039,ACC-00867,HARD,Equifax,2026-11-09T17:01:45Z,2026-11-09T17:01:45Z
BIR-0040040,CRQ-0040040,ACC-01065,HARD,Equifax,2026-11-10T17:01:45Z,2026-11-10T17:01:45Z
BIR-0040041,CRQ-0040041,ACC-01103,HARD,Equifax,2026-11-11T17:01:45Z,2026-11-11T17:01:45Z
BIR-0040042,CRQ-0040042,ACC-00480,HARD,Equifax,2026-10-01T17:01:45Z,2026-10-01T17:01:45Z
BIR-0040043,CRQ-0040043,ACC-00615,HARD,Equifax,2026-10-02T17:01:45Z,2026-10-02T17:01:45Z
BIR-0040044,CRQ-0040044,ACC-01071,HARD,Equifax,2026-10-03T17:01:45Z,2026-10-03T17:01:45Z
BIR-0040045,CRQ-0040045,ACC-00005,HARD,Equifax,2026-10-04T17:01:45Z,2026-10-04T17:01:45Z
BIR-9000301,CRQ-9000301,ACC-90003,SOFT,Equifax,2026-11-09T17:32:20Z,2026-11-11T17:32:20Z
BIR-9000401,CRQ-9000401,ACC-90004,SOFT,Equifax,2026-11-10T18:11:30Z,2026-11-12T18:11:30Z
BIR-9000501,CRQ-9000501,ACC-90005,HARD,Equifax,2026-10-22T16:22:05Z,2026-10-24T16:22:05Z
