qa_review_id,interaction_id,reviewer_id,reviewed_at,selected_by,verdict,category,notes,available_at
QA-A-00000,INT-0746924,R-A,2026-09-30T23:00:00Z,scanner,misconduct,MC-04,legacy historical QA label,2026-09-30T23:00:00Z
QA-A-00001,INT-0028192,R-A,2026-09-30T23:00:00Z,scanner,misconduct,MC-10,legacy historical QA label,2026-09-30T23:00:00Z
QA-A-00002,INT-0804934,R-A,2026-09-30T23:00:00Z,scanner,misconduct,MC-02,legacy historical QA label,2026-09-30T23:00:00Z
QA-A-00003,INT-0121573,R-A,2026-09-30T23:00:00Z,scanner,misconduct,MC-11,legacy historical QA label,2026-09-30T23:00:00Z
QA-A-00004,INT-0421008,R-A,2026-09-30T23:00:00Z,scanner,misconduct,MC-02,legacy historical QA label,2026-09-30T23:00:00Z
QA-A-00005,INT-0543174,R-A,2026-09-30T23:00:00Z,scanner,misconduct,MC-10,legacy historical QA label,2026-09-30T23:00:00Z
QA-A-00006,INT-0075185,R-A,2026-09-30T23:00:00Z,scanner,misconduct,MC-04,legacy historical QA label,2026-09-30T23:00:00Z
QA-A-00007,INT-0381430,R-A,2026-09-30T23:00:00Z,scanner,misconduct,MC-08,legacy historical QA label,2026-09-30T23:00:00Z
QA-A-00008,INT-0698292,R-A,2026-09-30T23:00:00Z,scanner,misconduct,MC-02,legacy historical QA label,2026-09-30T23:00:00Z
QA-A-00009,INT-0576193,R-A,2026-09-30T23:00:00Z,scanner,misconduct,MC-03,legacy historical QA label,2026-09-30T23:00:00Z
QA-A-00010,INT-0749949,R-A,2026-09-30T23:00:00Z,scanner,misconduct,MC-04,legacy historical QA label,2026-09-30T23:00:00Z
QA-A-00011,INT-0858160,R-A,2026-09-30T23:00:00Z,scanner,misconduct,MC-09,legacy historical QA label,2026-09-30T23:00:00Z
QA-A-00012,INT-0128265,R-A,2026-09-30T23:00:00Z,scanner,misconduct,MC-06,legacy historical QA label,2026-09-30T23:00:00Z
QA-A-00013,INT-0010333,R-A,2026-09-30T23:00:00Z,scanner,misconduct,MC-05,legacy historical QA label,2026-09-30T23:00:00Z
QA-A-00014,INT-0904722,R-A,2026-09-30T23:00:00Z,scanner,misconduct,MC-03,legacy historical QA label,2026-09-30T23:00:00Z
QA-A-00015,INT-0818769,R-A,2026-09-30T23:00:00Z,scanner,misconduct,MC-03,legacy historical QA label,2026-09-30T23:00:00Z
