complaint_id,customer_id,received_at,channel,logged_by,related_interaction_ids,category,status,available_at
COMP-0000308,CUS-00351,2026-09-18T23:40:19Z,phone,COL-3190,"[""INT-0888126""]",service_dissatisfaction,open,2026-09-18T23:40:19Z
COMP-0007122,CUS-00701,2026-10-28T14:00:18Z,phone,COL-7724,"[""INT-0103425""]",service_dissatisfaction,open,2026-10-28T14:00:18Z
COMP-0042255,CUS-00501,2026-11-05T18:40:19Z,phone,COL-4403,"[""INT-0151168""]",service_dissatisfaction,open,2026-11-05T18:40:19Z
COMP-0054583,CUS-00801,2026-08-21T19:20:19Z,phone,COL-7748,"[""INT-0423423""]",service_dissatisfaction,open,2026-08-21T19:20:19Z
COMP-0076277,CUS-00001,2026-09-26T14:20:20Z,phone,COL-8847,"[""INT-0505836""]",service_dissatisfaction,open,2026-09-26T14:20:20Z
COMP-0101441,CUS-00151,2026-08-18T00:00:20Z,phone,COL-3108,"[""INT-0898787""]",service_dissatisfaction,open,2026-08-18T00:00:20Z
COMP-0121000,CUS-00551,2026-09-10T21:00:19Z,phone,COL-4403,"[""INT-0739437""]",service_dissatisfaction,open,2026-09-10T21:00:19Z
COMP-0126260,CUS-00351,2026-09-22T21:00:20Z,phone,COL-5530,"[""INT-0473602""]",service_dissatisfaction,open,2026-09-22T21:00:20Z
COMP-0131728,CUS-00951,2026-08-21T17:20:19Z,phone,COL-7748,"[""INT-0838328""]",service_dissatisfaction,open,2026-08-21T17:20:19Z
COMP-0134030,CUS-00601,2026-10-12T20:40:19Z,phone,COL-7708,"[""INT-0757806""]",service_dissatisfaction,open,2026-10-12T20:40:19Z
COMP-0137551,CUS-00251,2026-09-02T18:20:19Z,phone,COL-3141,"[""INT-0769604""]",service_dissatisfaction,open,2026-09-02T18:20:19Z
COMP-0138374,CUS-00651,2026-09-26T15:20:18Z,phone,COL-4430,"[""INT-0326347""]",service_dissatisfaction,open,2026-09-26T15:20:18Z
COMP-0151408,CUS-00251,2026-11-09T16:40:20Z,phone,COL-5512,"[""INT-0811112""]",service_dissatisfaction,open,2026-11-09T16:40:20Z
COMP-0151501,CUS-00151,2026-09-30T23:40:20Z,phone,COL-3141,"[""INT-0100378""]",service_dissatisfaction,open,2026-09-30T23:40:20Z
COMP-0191230,CUS-00351,2026-11-01T22:20:18Z,phone,COL-5512,"[""INT-0344752""]",service_dissatisfaction,open,2026-11-01T22:20:18Z
COMP-0205909,CUS-00101,2026-10-12T21:40:20Z,phone,COL-3108,"[""INT-0266078""]",service_dissatisfaction,open,2026-10-12T21:40:20Z
COMP-0232735,CUS-00551,2026-10-24T20:40:19Z,phone,COL-4430,"[""INT-0678203""]",service_dissatisfaction,open,2026-10-24T20:40:19Z
COMP-0235142,CUS-01101,2026-08-25T13:40:20Z,phone,COL-6651,"[""INT-0921074""]",service_dissatisfaction,open,2026-08-25T13:40:20Z
COMP-0237680,CUS-00751,2026-10-12T18:40:18Z,phone,COL-7708,"[""INT-0077632""]",service_dissatisfaction,open,2026-10-12T18:40:18Z
COMP-0277938,CUS-00851,2026-10-28T23:00:21Z,phone,COL-7724,"[""INT-0816514""]",service_dissatisfaction,open,2026-10-28T23:00:21Z
COMP-0283421,CUS-00801,2026-09-30T20:40:18Z,phone,COL-7724,"[""INT-0150328""]",service_dissatisfaction,open,2026-09-30T20:40:18Z
COMP-0320970,CUS-01001,2026-11-01T20:20:20Z,phone,COL-6622,"[""INT-0136460""]",service_dissatisfaction,open,2026-11-01T20:20:20Z
COMP-0325326,CUS-00901,2026-10-16T14:00:21Z,phone,COL-7748,"[""INT-0123808""]",service_dissatisfaction,open,2026-10-16T14:00:21Z
COMP-0326657,CUS-00951,2026-10-04T16:00:21Z,phone,COL-6622,"[""INT-0172662""]",service_dissatisfaction,open,2026-10-04T16:00:21Z
COMP-0332572,CUS-00601,2026-08-29T23:00:19Z,phone,COL-4430,"[""INT-0897504""]",service_dissatisfaction,open,2026-08-29T23:00:19Z
COMP-0337738,CUS-00601,2026-10-09T00:20:18Z,phone,COL-4403,"[""INT-0935682""]",service_dissatisfaction,open,2026-10-09T00:20:18Z
COMP-0348032,CUS-00201,2026-09-14T16:20:19Z,phone,COL-3108,"[""INT-0620894""]",service_dissatisfaction,open,2026-09-14T16:20:19Z
COMP-0372775,CUS-00951,2026-08-25T15:40:18Z,phone,COL-6651,"[""INT-0041855""]",service_dissatisfaction,open,2026-08-25T15:40:18Z
COMP-0384235,CUS-00401,2026-09-07T01:40:19Z,phone,COL-5512,"[""INT-0282138""]",service_dissatisfaction,open,2026-09-07T01:40:19Z
COMP-0386627,CUS-01001,2026-11-09T18:40:18Z,phone,COL-8819,"[""INT-0573625""]",service_dissatisfaction,open,2026-11-09T18:40:18Z
COMP-0415181,CUS-00901,2026-09-06T13:40:18Z,phone,COL-6622,"[""INT-0797182""]",service_dissatisfaction,open,2026-09-06T13:40:18Z
COMP-0423173,CUS-00301,2026-09-30T21:40:19Z,phone,COL-3141,"[""INT-0554896""]",service_dissatisfaction,open,2026-09-30T21:40:19Z
COMP-0437965,CUS-00851,2026-11-01T22:20:18Z,phone,COL-6622,"[""INT-0069789""]",service_dissatisfaction,open,2026-11-01T22:20:18Z
COMP-0454675,CUS-00301,2026-08-21T20:20:19Z,phone,COL-3190,"[""INT-0166097""]",service_dissatisfaction,open,2026-08-21T20:20:19Z
COMP-0475980,CUS-00451,2026-10-04T17:00:18Z,phone,COL-5512,"[""INT-0394666""]",service_dissatisfaction,open,2026-10-04T17:00:18Z
COMP-0494341,CUS-00851,2026-09-18T22:40:18Z,phone,COL-7748,"[""INT-0644750""]",service_dissatisfaction,open,2026-09-18T22:40:18Z
COMP-0497129,CUS-01051,2026-10-20T21:20:20Z,phone,COL-6651,"[""INT-0960802""]",service_dissatisfaction,open,2026-10-20T21:20:20Z
COMP-0515482,CUS-01001,2026-09-22T18:00:21Z,phone,COL-6651,"[""INT-0248595""]",service_dissatisfaction,open,2026-09-22T18:00:21Z
COMP-0516532,CUS-00201,2026-10-28T15:00:20Z,phone,COL-3141,"[""INT-0860673""]",service_dissatisfaction,open,2026-10-28T15:00:20Z
COMP-0535570,CUS-00751,2026-09-02T17:20:18Z,phone,COL-7724,"[""INT-0889273""]",service_dissatisfaction,open,2026-09-02T17:20:18Z
COMP-0568683,CUS-00751,2026-11-09T17:00:19Z,phone,COL-7748,"[""INT-0727739""]",service_dissatisfaction,open,2026-11-09T17:00:19Z
COMP-0572305,CUS-00451,2026-10-08T15:20:19Z,phone,COL-4403,"[""INT-0932297""]",service_dissatisfaction,open,2026-10-08T15:20:19Z
COMP-0578268,CUS-00051,2026-09-10T18:00:19Z,phone,COL-8819,"[""INT-0389905""]",service_dissatisfaction,open,2026-09-10T18:00:19Z
COMP-0586823,CUS-00501,2026-11-09T17:20:19Z,phone,COL-4430,"[""INT-0103424""]",service_dissatisfaction,open,2026-11-09T17:20:19Z
COMP-0638008,CUS-00051,2026-10-24T17:40:20Z,phone,COL-8847,"[""INT-0735487""]",service_dissatisfaction,open,2026-10-24T17:40:20Z
COMP-0642519,CUS-00651,2026-08-17T23:00:19Z,phone,COL-7708,"[""INT-0602847""]",service_dissatisfaction,open,2026-08-17T23:00:19Z
COMP-0642890,CUS-00001,2026-11-09T15:00:21Z,phone,COL-3108,"[""INT-0063657""]",service_dissatisfaction,open,2026-11-09T15:00:21Z
COMP-0671886,CUS-00051,2026-09-14T18:20:20Z,phone,COL-3108,"[""INT-0012333""]",service_dissatisfaction,open,2026-09-14T18:20:20Z
COMP-0682375,CUS-00251,2026-10-16T17:00:20Z,phone,COL-3190,"[""INT-0598644""]",service_dissatisfaction,open,2026-10-16T17:00:20Z
COMP-0693729,CUS-00401,2026-10-21T00:20:19Z,phone,COL-5530,"[""INT-0602919""]",service_dissatisfaction,open,2026-10-21T00:20:19Z
COMP-0743438,CUS-01101,2026-10-08T23:20:20Z,phone,COL-8819,"[""INT-0537915""]",service_dissatisfaction,open,2026-10-08T23:20:20Z
COMP-0775348,CUS-00701,2026-09-14T15:20:18Z,phone,COL-7708,"[""INT-0079635""]",service_dissatisfaction,open,2026-09-14T15:20:18Z
COMP-0792227,CUS-00701,2026-10-24T18:40:18Z,phone,COL-4430,"[""INT-0967485""]",service_dissatisfaction,open,2026-10-24T18:40:18Z
COMP-0823114,CUS-00101,2026-09-02T20:20:20Z,phone,COL-3141,"[""INT-0793414""]",service_dissatisfaction,open,2026-09-02T20:20:20Z
COMP-0830519,CUS-00451,2026-08-25T16:40:19Z,phone,COL-5530,"[""INT-0307951""]",service_dissatisfaction,open,2026-08-25T16:40:19Z
COMP-0838401,CUS-00551,2026-10-20T22:20:18Z,phone,COL-5530,"[""INT-0077377""]",service_dissatisfaction,open,2026-10-20T22:20:18Z
COMP-0845415,CUS-00001,2026-11-05T16:40:20Z,phone,COL-8819,"[""INT-0459496""]",service_dissatisfaction,open,2026-11-05T16:40:20Z
