workstation_id,colleague_id,offset_seconds,measured_at
WS-S-200,COL-7700,-2,2026-10-01T15:00:00Z
WS-S-205,COL-7705,-2,2026-10-01T15:00:00Z
WS-S-208,COL-7708,-1,2026-10-01T15:00:00Z
WS-S-212,COL-7712,2,2026-10-01T15:00:00Z
WS-S-216,COL-7716,0,2026-10-01T15:00:00Z
WS-S-221,COL-7721,0,2026-10-01T15:00:00Z
WS-S-224,COL-7724,1,2026-10-01T15:00:00Z
WS-S-230,COL-7730,-2,2026-10-01T15:00:00Z
WS-S-235,COL-7735,-2,2026-10-01T15:00:00Z
WS-S-241,COL-7741,0,2026-10-01T15:00:00Z
WS-S-248,COL-7748,-1,2026-10-01T15:00:00Z
WS-S-500,COL-6600,-2,2026-10-01T15:00:00Z
WS-S-504,COL-6604,1,2026-10-01T15:00:00Z
WS-S-511,COL-6611,0,2026-10-01T15:00:00Z
WS-S-518,COL-6618,-1,2026-10-01T15:00:00Z
WS-S-522,COL-6622,2,2026-10-01T15:00:00Z
WS-S-530,COL-6630,-2,2026-10-01T15:00:00Z
WS-S-537,COL-6637,2,2026-10-01T15:00:00Z
WS-S-545,COL-6645,-2,2026-10-01T15:00:00Z
WS-S-551,COL-6651,0,2026-10-01T15:00:00Z
WS-S-558,COL-6658,-1,2026-10-01T15:00:00Z
WS-S-600,COL-8800,-2,2026-10-01T15:00:00Z
WS-S-605,COL-8805,-2,2026-10-01T15:00:00Z
WS-S-613,COL-8813,-1,2026-10-01T15:00:00Z
WS-S-619,COL-8819,1,2026-10-01T15:00:00Z
WS-S-626,COL-8826,0,2026-10-01T15:00:00Z
WS-S-632,COL-8832,2,2026-10-01T15:00:00Z
WS-S-640,COL-8840,-2,2026-10-01T15:00:00Z
WS-S-647,COL-8847,2,2026-10-01T15:00:00Z
WS-S-653,COL-8853,-1,2026-10-01T15:00:00Z
WS-S-661,COL-8861,0,2026-10-01T15:00:00Z
WS-S-670,COL-8870,-2,2026-10-01T15:00:00Z
WS-T-104,COL-3122,0,2026-10-01T15:00:00Z
WS-T-109,COL-3141,-2,2026-10-01T15:00:00Z
WS-T-118,COL-4417,9,2026-10-01T15:00:00Z
WS-T-400,COL-4400,-2,2026-10-01T15:00:00Z
WS-T-403,COL-4403,-1,2026-10-01T15:00:00Z
WS-T-409,COL-4409,1,2026-10-01T15:00:00Z
WS-T-412,COL-4412,2,2026-10-01T15:00:00Z
WS-T-421,COL-4421,0,2026-10-01T15:00:00Z
WS-T-425,COL-4425,-2,2026-10-01T15:00:00Z
WS-T-430,COL-4430,-2,2026-10-01T15:00:00Z
WS-T-436,COL-4436,0,2026-10-01T15:00:00Z
WS-T-442,COL-4442,2,2026-10-01T15:00:00Z
WS-T-500,COL-3100,-2,2026-10-01T15:00:00Z
WS-T-508,COL-3108,-1,2026-10-01T15:00:00Z
WS-T-512,COL-3112,2,2026-10-01T15:00:00Z
WS-T-531,COL-3131,0,2026-10-01T15:00:00Z
WS-T-550,COL-3150,-2,2026-10-01T15:00:00Z
WS-T-563,COL-3163,-1,2026-10-01T15:00:00Z
WS-T-577,COL-3177,2,2026-10-01T15:00:00Z
WS-T-590,COL-3190,-2,2026-10-01T15:00:00Z
WS-T-599,COL-3199,1,2026-10-01T15:00:00Z
WS-T-800,COL-5500,-2,2026-10-01T15:00:00Z
WS-T-803,COL-5503,-1,2026-10-01T15:00:00Z
WS-T-810,COL-5510,-2,2026-10-01T15:00:00Z
WS-T-812,COL-5512,2,2026-10-01T15:00:00Z
WS-T-818,COL-5518,-1,2026-10-01T15:00:00Z
WS-T-820,COL-5520,-2,2026-10-01T15:00:00Z
WS-T-826,COL-5526,0,2026-10-01T15:00:00Z
WS-T-830,COL-5530,-2,2026-10-01T15:00:00Z
WS-T-835,COL-5535,-2,2026-10-01T15:00:00Z
WS-T-841,COL-5541,0,2026-10-01T15:00:00Z
WS-T-847,COL-5547,2,2026-10-01T15:00:00Z
