credit_request_id,account_id,interaction_id,requested_at_utc,requested_increase,tenure_months_at_request,policy_version_applied,decision,new_limit,income_verified,obligations_checked,available_at
CRQ-0040000,ACC-00365,INT-0040000,2026-10-01T17:01:00Z,3000,8,CLB-POL-CLI@v6,approved,36700,true,true,2026-10-01T17:02:00Z
CRQ-0040001,ACC-01061,INT-0040001,2026-10-02T17:01:00Z,3000,8,CLB-POL-CLI@v6,approved,10600,true,true,2026-10-02T17:02:00Z
CRQ-0040002,ACC-01130,INT-0040002,2026-10-03T17:01:00Z,3000,8,CLB-POL-CLI@v6,approved,8500,true,true,2026-10-03T17:02:00Z
CRQ-0040003,ACC-00684,INT-0040003,2026-10-04T17:01:00Z,3000,8,CLB-POL-CLI@v6,approved,3700,true,true,2026-10-04T17:02:00Z
CRQ-0040004,ACC-00134,INT-0040004,2026-10-05T17:01:00Z,3000,8,CLB-POL-CLI@v6,approved,8500,true,true,2026-10-05T17:02:00Z
CRQ-0040005,ACC-00139,INT-0040005,2026-10-06T17:01:00Z,3000,8,CLB-POL-CLI@v6,approved,8900,true,true,2026-10-06T17:02:00Z
CRQ-0040006,ACC-00929,INT-0040006,2026-10-07T17:01:00Z,3000,8,CLB-POL-CLI@v6,approved,12200,true,true,2026-10-07T17:02:00Z
CRQ-0040007,ACC-00843,INT-0040007,2026-10-08T17:01:00Z,3000,8,CLB-POL-CLI@v6,approved,13200,true,true,2026-10-08T17:02:00Z
CRQ-0040008,ACC-00546,INT-0040008,2026-10-09T17:01:00Z,3000,8,CLB-POL-CLI@v6,approved,22200,true,true,2026-10-09T17:02:00Z
CRQ-0040009,ACC-00068,INT-0040009,2026-10-10T17:01:00Z,3000,8,CLB-POL-CLI@v6,approved,17500,true,true,2026-10-10T17:02:00Z
CRQ-0040010,ACC-00846,INT-0040010,2026-10-11T17:01:00Z,3000,8,CLB-POL-CLI@v6,approved,16800,true,true,2026-10-11T17:02:00Z
CRQ-0040011,ACC-00143,INT-0040011,2026-10-12T17:01:00Z,3000,8,CLB-POL-CLI@v6,approved,8600,true,true,2026-10-12T17:02:00Z
CRQ-0040012,ACC-00709,INT-0040012,2026-10-13T17:01:00Z,3000,8,CLB-POL-CLI@v6,approved,16200,true,true,2026-10-13T17:02:00Z
CRQ-0040013,ACC-00882,INT-0040013,2026-10-14T17:01:00Z,3000,8,CLB-POL-CLI@v6,approved,12800,true,true,2026-10-14T17:02:00Z
CRQ-0040014,ACC-00389,INT-0040014,2026-10-15T17:01:00Z,3000,8,CLB-POL-CLI@v6,approved,14400,true,true,2026-10-15T17:02:00Z
CRQ-0040015,ACC-00625,INT-0040015,2026-10-16T17:01:00Z,3000,8,CLB-POL-CLI@v6,approved,21900,true,true,2026-10-16T17:02:00Z
