colleague_id,role,team_id,site,site_timezone,hire_date,languages,licensed_products,available_at
COL-3100,supervisor,T-TMP-1,TEMPE,America/Phoenix,2020-05-23,en,BT|CLI|FLEX|ADDON|PRODUCT_CHANGE|RETENTION,2020-05-23T16:00:00Z
COL-3108,agent,T-TMP-1,TEMPE,America/Phoenix,2019-01-04,en,BT|CLI|FLEX|ADDON|PRODUCT_CHANGE|RETENTION,2019-01-04T16:00:00Z
COL-3112,agent,T-TMP-1,TEMPE,America/Phoenix,2023-05-08,en,BT|CLI|FLEX|ADDON|PRODUCT_CHANGE|RETENTION,2023-05-08T16:00:00Z
COL-3122,agent,T-TMP-1,TEMPE,America/Phoenix,2024-03-18,en,BT|CLI|FLEX|ADDON|PRODUCT_CHANGE|RETENTION,2024-03-18T16:00:00Z
COL-3131,agent,T-TMP-1,TEMPE,America/Phoenix,2024-12-27,en,BT|CLI|FLEX|ADDON|PRODUCT_CHANGE|RETENTION,2024-12-27T16:00:00Z
COL-3141,agent,T-TMP-1,TEMPE,America/Phoenix,2016-10-10,en,BT|CLI|FLEX|ADDON|PRODUCT_CHANGE|RETENTION,2016-10-10T16:00:00Z
COL-3150,agent,T-TMP-1,TEMPE,America/Phoenix,2016-07-19,en,BT|CLI|FLEX|ADDON|PRODUCT_CHANGE|RETENTION,2016-07-19T16:00:00Z
COL-3163,agent,T-TMP-1,TEMPE,America/Phoenix,2020-08-05,en,BT|CLI|FLEX|ADDON|PRODUCT_CHANGE|RETENTION,2020-08-05T16:00:00Z
COL-3177,agent,T-TMP-1,TEMPE,America/Phoenix,2016-10-19,en,BT|CLI|FLEX|ADDON|PRODUCT_CHANGE|RETENTION,2016-10-19T16:00:00Z
COL-3190,agent,T-TMP-1,TEMPE,America/Phoenix,2020-11-05,en,BT|CLI|FLEX|ADDON|PRODUCT_CHANGE|RETENTION,2020-11-05T16:00:00Z
COL-3199,agent,T-TMP-1,TEMPE,America/Phoenix,2020-08-14,en,BT|CLI|FLEX|ADDON|PRODUCT_CHANGE|RETENTION,2020-08-14T16:00:00Z
